_id,Nama ODTW,Kode ODTW,Bulan kunjungan,Klasifikasi pengunjung/ wisatawan,Jumlah pengunjung/ wisatawan
"1,PANTAI RIA KENJERAN,"""",JANUARI,WISMAN,0"
"2,PANTAI RIA KENJERAN,"""",JANUARI,WISNUS,12185"
"3,PANTAI RIA KENJERAN,"""",FEBRUARI,WISMAN,0"
"4,PANTAI RIA KENJERAN,"""",FEBRUARI,WISNUS,10097"
"5,PANTAI RIA KENJERAN,"""",MARET,WISMAN,0"
"6,PANTAI RIA KENJERAN,"""",MARET,WISNUS,9586"
"7,PANTAI RIA KENJERAN,"""",APRIL,WISMAN,0"
"8,PANTAI RIA KENJERAN,"""",APRIL,WISNUS,10023"
"9,PANTAI RIA KENJERAN,"""",MEI,WISMAN,0"
"10,PANTAI RIA KENJERAN,"""",MEI,WISNUS,3269"
"11,PANTAI RIA KENJERAN,"""",JUNI,WISMAN,0"
"12,PANTAI RIA KENJERAN,"""",JUNI,WISNUS,2235"
"13,PANTAI RIA KENJERAN,"""",JULI,WISMAN,0"
"14,PANTAI RIA KENJERAN,"""",JULI,WISNUS,0"
"15,PANTAI RIA KENJERAN,"""",AGUSTUS,WISMAN,0"
"16,PANTAI RIA KENJERAN,"""",AGUSTUS,WISNUS,0"
"17,PANTAI RIA KENJERAN,"""",SEPTEMBER,WISMAN,0"
"18,PANTAI RIA KENJERAN,"""",SEPTEMBER,WISNUS,243"
"19,PANTAI RIA KENJERAN,"""",OKTOBER,WISMAN,0"
"20,PANTAI RIA KENJERAN,"""",OKTOBER,WISNUS,317"
"21,PANTAI RIA KENJERAN,"""",NOPEMBER,WISMAN,0"
"22,PANTAI RIA KENJERAN,"""",NOPEMBER,WISNUS,827"
"23,PANTAI RIA KENJERAN,"""",DESEMBER,WISMAN,0"
"24,PANTAI RIA KENJERAN,"""",DESEMBER,WISNUS,794"
"25,UPTD THP. KENJERAN,"""",JANUARI,WISMAN,0"
"26,UPTD THP. KENJERAN,"""",JANUARI,WISNUS,0"
"27,UPTD THP. KENJERAN,"""",FEBRUARI,WISMAN,0"
"28,UPTD THP. KENJERAN,"""",FEBRUARI,WISNUS,0"
"29,UPTD THP. KENJERAN,"""",MARET,WISMAN,0"
"30,UPTD THP. KENJERAN,"""",MARET,WISNUS,0"
"31,UPTD THP. KENJERAN,"""",APRIL,WISMAN,0"
"32,UPTD THP. KENJERAN,"""",APRIL,WISNUS,0"
"33,UPTD THP. KENJERAN,"""",MEI,WISMAN,0"
"34,UPTD THP. KENJERAN,"""",MEI,WISNUS,0"
"35,UPTD THP. KENJERAN,"""",JUNI,WISMAN,0"
"36,UPTD THP. KENJERAN,"""",JUNI,WISNUS,0"
"37,UPTD THP. KENJERAN,"""",JULI,WISMAN,0"
"38,UPTD THP. KENJERAN,"""",JULI,WISNUS,0"
"39,UPTD THP. KENJERAN,"""",AGUSTUS,WISMAN,0"
"40,UPTD THP. KENJERAN,"""",AGUSTUS,WISNUS,0"
